('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         451930 function calls (436616 primitive calls) in 10.159 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      767    9.492    0.012    9.492    0.012 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.121    0.121    0.121    0.121 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.078    0.078    0.080    0.080 {built-in method _socket.getaddrinfo}
        1    0.051    0.051    0.051    0.051 {method 'connect' of '_socket.socket' objects}
 2845/155    0.025    0.000    0.073    0.000 sre_parse.py:493(_parse)
    11971    0.016    0.000    0.016    0.000 {method 'match' of 're.Pattern' objects}
     1262    0.015    0.000    0.086    0.000 parser.py:301(parse_starttag)
 3295/148    0.015    0.000    0.034    0.000 sre_compile.py:71(_compile)
      108    0.013    0.000    0.013    0.000 {built-in method marshal.loads}
        2    0.012    0.006    0.137    0.069 parser.py:134(goahead)
     1263    0.011    0.000    0.025    0.000 element.py:1180(__init__)
    50462    0.008    0.000    0.011    0.000 {built-in method builtins.isinstance}
      549    0.008    0.000    0.011    0.000 sre_compile.py:276(_optimize_charset)
    18077    0.007    0.000    0.010    0.000 sre_parse.py:164(__getitem__)
    14889    0.007    0.000    0.007    0.000 sre_parse.py:233(__next)
42977/39092    0.006    0.000    0.008    0.000 {built-in method builtins.len}
  934/149    0.006    0.000    0.074    0.000 sre_parse.py:435(_parse_sub)
      340    0.006    0.000    0.111    0.000 {built-in method builtins.__build_class__}
     1262    0.006    0.000    0.038    0.000 __init__.py:694(handle_starttag)
 3248/273    0.006    0.000    0.009    0.000 sre_parse.py:174(getwidth)
    49953    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
        1    0.006    0.006    0.038    0.038 dammit.py:70(_populate_class_variables)
     1262    0.006    0.000    0.046    0.000 _htmlparser.py:122(handle_starttag)
      956    0.005    0.000    0.010    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
        1    0.005    0.005    0.005    0.005 dammit.py:677(_to_unicode)
     1194    0.005    0.000    0.025    0.000 parser.py:386(parse_endtag)
     3693    0.004    0.000    0.004    0.000 {method 'search' of 're.Pattern' objects}
     1262    0.004    0.000    0.008    0.000 __init__.py:660(_popToTag)
      767    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0x90b780}
