('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         453379 function calls (438066 primitive calls) in 9.638 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    50658    0.010    0.000    0.014    0.000 {built-in method builtins.isinstance}
    50032    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
42993/39109    0.006    0.000    0.008    0.000 {built-in method builtins.len}
    18076    0.007    0.000    0.010    0.000 sre_parse.py:164(__getitem__)
    14889    0.007    0.000    0.007    0.000 sre_parse.py:233(__next)
    12081    0.016    0.000    0.016    0.000 {method 'match' of 're.Pattern' objects}
    11353    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
     9319    0.004    0.000    0.008    0.000 sre_parse.py:254(get)
     8676    0.002    0.000    0.002    0.000 {built-in method builtins.min}
     7979    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
     7608    0.002    0.000    0.003    0.000 sre_parse.py:160(__len__)
     7586    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
     7308    0.003    0.000    0.005    0.000 sre_parse.py:249(match)
     6417    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
     5706    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     5591    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     5383    0.003    0.000    0.003    0.000 {method 'group' of 're.Match' objects}
     4966    0.003    0.000    0.007    0.000 _markupbase.py:48(updatepos)
     4753    0.002    0.000    0.003    0.000 sre_parse.py:172(append)
     4611    0.002    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
     4611    0.002    0.000    0.004    0.000 abc.py:96(__instancecheck__)
     4109    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     3888    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     3793    0.002    0.000    0.002    0.000 sre_parse.py:111(__init__)
     3727    0.004    0.000    0.004    0.000 {method 'search' of 're.Pattern' objects}
 3295/148    0.014    0.000    0.033    0.000 sre_compile.py:71(_compile)
 3248/273    0.006    0.000    0.009    0.000 sre_parse.py:174(getwidth)
     2922    0.003    0.000    0.003    0.000 {method 'count' of 'str' objects}
     2919    0.001    0.000    0.002    0.000 sre_parse.py:286(tell)
     2850    0.001    0.000    0.001    0.000 element.py:1532(__bool__)
 2845/155    0.025    0.000    0.072    0.000 sre_parse.py:493(_parse)
     2665    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
     2553    0.003    0.000    0.009    0.000 __init__.py:558(endData)
     2498    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
     2496    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     2435    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     2309    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
     2251    0.001    0.000    0.003    0.000 css_parser.py:319(match)
     2212    0.002    0.000    0.004    0.000 element.py:2059(_normalize_search_value)
2203/1371    0.006    0.000    0.015    0.000 element.py:2192(_matches)
     2171    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     2143    0.003    0.000    0.003    0.000 element.py:157(setup)
     2138    0.001    0.000    0.008    0.000 {built-in method builtins.next}
     1995    0.001    0.000    0.001    0.000 element.py:1906(descendants)
     1899    0.001    0.000    0.001    0.000 __init__.py:122(unescape)
     1811    0.003    0.000    0.031    0.000 element.py:2159(search)
     1639    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
     1524    0.001    0.000    0.001    0.000 ssl.py:1078(_checkClosed)
     1510    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
     1448    0.001    0.000    0.001    0.000 element.py:1489(get)
     1375    0.006    0.000    0.026    0.000 element.py:2096(search_tag)
     1368    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
     1356    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     1306    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     1275    0.001    0.000    0.001    0.000 __init__.py:205(can_be_empty_element)
     1275    0.001    0.000    0.001    0.000 __init__.py:453(set_up_substitutions)
     1275    0.010    0.000    0.023    0.000 element.py:1180(__init__)
     1275    0.004    0.000    0.004    0.000 __init__.py:544(pushTag)
     1274    0.002    0.000    0.020    0.000 _htmlparser.py:177(handle_endtag)
     1274    0.015    0.000    0.077    0.000 parser.py:301(parse_starttag)
     1274    0.002    0.000    0.007    0.000 parser.py:352(check_for_whole_start_tag)
     1274    0.006    0.000    0.042    0.000 _htmlparser.py:122(handle_starttag)
     1274    0.001    0.000    0.001    0.000 _markupbase.py:40(getpos)
     1274    0.001    0.000    0.001    0.000 element.py:1317(is_empty_element)
     1274    0.003    0.000    0.003    0.000 __init__.py:530(popTag)
     1274    0.004    0.000    0.008    0.000 __init__.py:660(_popToTag)
     1274    0.006    0.000    0.035    0.000 __init__.py:694(handle_starttag)
     1274    0.002    0.000    0.018    0.000 __init__.py:735(handle_endtag)
     1216    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
     1216    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
     1205    0.001    0.000    0.001    0.000 parser.py:127(clear_cdata_mode)
     1205    0.005    0.000    0.027    0.000 parser.py:386(parse_endtag)
1193/1128    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
