('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         529436 function calls (509921 primitive calls) in 1.704 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      156    1.043    0.007    1.043    0.007 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.056    0.056    0.056    0.056 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.052    0.052    0.052    0.052 {method 'connect' of '_socket.socket' objects}
 3200/197    0.036    0.000    0.098    0.000 sre_parse.py:493(_parse)
        1    0.021    0.021    0.021    0.021 {built-in method _socket.getaddrinfo}
      178    0.019    0.000    0.019    0.000 {built-in method marshal.loads}
 3951/188    0.019    0.000    0.047    0.000 sre_compile.py:71(_compile)
        1    0.018    0.018    0.018    0.018 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
    11977    0.018    0.000    0.018    0.000 {method 'match' of 're.Pattern' objects}
     1261    0.016    0.000    0.086    0.000 parser.py:301(parse_starttag)
        2    0.012    0.006    0.138    0.069 parser.py:134(goahead)
      892    0.011    0.000    0.016    0.000 sre_compile.py:276(_optimize_charset)
    21864    0.010    0.000    0.010    0.000 sre_parse.py:233(__next)
      504    0.009    0.000    0.120    0.000 {built-in method builtins.__build_class__}
    22989    0.009    0.000    0.013    0.000 sre_parse.py:164(__getitem__)
       20    0.009    0.000    0.009    0.000 {method 'decompress' of 'zlib.Decompress' objects}
    56458    0.009    0.000    0.012    0.000 {built-in method builtins.isinstance}
     1262    0.008    0.000    0.025    0.000 element.py:1180(__init__)
      797    0.008    0.000    0.008    0.000 {built-in method __new__ of type object at 0x90b780}
50925/46198    0.008    0.000    0.009    0.000 {built-in method builtins.len}
    58909    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
 1195/189    0.007    0.000    0.099    0.001 sre_parse.py:435(_parse_sub)
 3952/362    0.007    0.000    0.011    0.000 sre_parse.py:174(getwidth)
        1    0.006    0.006    0.039    0.039 dammit.py:70(_populate_class_variables)
     1261    0.006    0.000    0.037    0.000 __init__.py:694(handle_starttag)
    14703    0.006    0.000    0.012    0.000 sre_parse.py:254(get)
     1261    0.006    0.000    0.045    0.000 _htmlparser.py:122(handle_starttag)
